Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
3_EditTujuanFinansialKu,,,2019-07-24 14:49:09,2019-07-24 14:50:32,1m - 23.330s,PASSED
,,,,,,
Test Cases/Login/LoginTrue,,,2019-07-24 14:49:09,2019-07-24 14:50:12,1m - 2.533s,PASSED
startApplication,,,2019-07-24 14:49:10,2019-07-24 14:49:37,27.036s,PASSED
verifyElementText,,,2019-07-24 14:49:37,2019-07-24 14:49:45,8.718s,PASSED
tap,,,2019-07-24 14:49:45,2019-07-24 14:49:48,2.590s,PASSED
"Statement - For ([i = 0, i < 4, (i++)])",,,2019-07-24 14:49:48,2019-07-24 14:50:04,16.038s,PASSED
setText,,,2019-07-24 14:50:04,2019-07-24 14:50:06,2.112s,PASSED
tap,,,2019-07-24 14:50:06,2019-07-24 14:50:08,1.529s,PASSED
delay,,,2019-07-24 14:50:08,2019-07-24 14:50:11,3.053s,PASSED
verifyElementText,,,2019-07-24 14:50:11,2019-07-24 14:50:12,0.868s,PASSED
,,,,,,
Test Cases/OTP/LoginOTP,,,2019-07-24 14:50:12,2019-07-24 14:50:20,8.253s,PASSED
delay,,,2019-07-24 14:50:12,2019-07-24 14:50:15,3.006s,PASSED
tap,,,2019-07-24 14:50:15,2019-07-24 14:50:17,1.595s,PASSED
setText,,,2019-07-24 14:50:17,2019-07-24 14:50:18,1.050s,PASSED
tap,,,2019-07-24 14:50:18,2019-07-24 14:50:20,2.334s,PASSED
,,,,,,
Test Cases/Home/TujuanFinansialUtamaKu/EditTujuanFinansial,,,2019-07-24 14:50:20,2019-07-24 14:50:30,9.574s,PASSED
delay,,,2019-07-24 14:50:20,2019-07-24 14:50:23,3.007s,PASSED
tap,,,2019-07-24 14:50:23,2019-07-24 14:50:25,2.250s,PASSED
delay,,,2019-07-24 14:50:25,2019-07-24 14:50:28,3.006s,PASSED
tap,,,2019-07-24 14:50:28,2019-07-24 14:50:30,1.037s,PASSED
