Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
4_DapatkanRekomendasi,,,2019-07-03 12:36:36,2019-07-03 12:38:01,1m - 25.577s,ERROR
,,,,,,
Test Cases/Login/LoginTrue,,,2019-07-03 12:36:37,2019-07-03 12:37:37,1m - 0.062s,PASSED
startApplication,,,2019-07-03 12:36:37,2019-07-03 12:37:01,24.394s,PASSED
verifyElementText,,,2019-07-03 12:37:01,2019-07-03 12:37:09,7.925s,PASSED
tap,,,2019-07-03 12:37:09,2019-07-03 12:37:12,2.266s,PASSED
"Statement - For ([i = 0, i < 4, (i++)])",,,2019-07-03 12:37:12,2019-07-03 12:37:29,17.462s,PASSED
setText,,,2019-07-03 12:37:29,2019-07-03 12:37:31,2.177s,PASSED
tap,,,2019-07-03 12:37:31,2019-07-03 12:37:33,1.558s,PASSED
delay,,,2019-07-03 12:37:33,2019-07-03 12:37:36,3.050s,PASSED
verifyElementText,,,2019-07-03 12:37:36,2019-07-03 12:37:37,0.776s,PASSED
,,,,,,
Test Cases/OTP/LoginOTP,,,2019-07-03 12:37:37,2019-07-03 12:37:45,8.103s,PASSED
delay,,,2019-07-03 12:37:37,2019-07-03 12:37:40,3.019s,PASSED
tap,,,2019-07-03 12:37:40,2019-07-03 12:37:42,1.556s,PASSED
setText,,,2019-07-03 12:37:42,2019-07-03 12:37:43,1.112s,PASSED
tap,,,2019-07-03 12:37:43,2019-07-03 12:37:45,2.055s,PASSED
,,,,,,
Test Cases/Home/TujuanFinansialUtamaKu/DapatkanRekomendasi,,,2019-07-03 12:37:45,2019-07-03 12:37:59,14.543s,ERROR
delay,,,2019-07-03 12:37:45,2019-07-03 12:37:48,3.012s,PASSED
tap,,,2019-07-03 12:37:48,2019-07-03 12:37:55,6.786s,PASSED
clearText,,,2019-07-03 12:37:55,2019-07-03 12:37:56,1.014s,PASSED
setText,,,2019-07-03 12:37:56,2019-07-03 12:37:58,2.109s,PASSED
hideKeyboard,,,2019-07-03 12:37:58,2019-07-03 12:37:59,1.226s,PASSED
pressBack,,,2019-07-03 12:37:59,2019-07-03 12:37:59,0.001s,PASSED
