Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
01_Consultation,,,2019-08-01 12:05:09,2019-08-01 12:09:48,4m - 38.416s,FAILED
,,,,,,
Test Cases/Login/LoginTrue,,,2019-08-01 12:05:10,2019-08-01 12:07:26,2m - 15.632s,PASSED
startApplication,,,2019-08-01 12:05:10,2019-08-01 12:05:54,43.158s,PASSED
verifyElementText,,,2019-08-01 12:05:54,2019-08-01 12:06:17,23.591s,PASSED
tap,,,2019-08-01 12:06:17,2019-08-01 12:06:27,9.425s,PASSED
"Statement - For ([i = 0, i < 4, (i++)])",,,2019-08-01 12:06:27,2019-08-01 12:07:02,35.305s,PASSED
setText,,,2019-08-01 12:07:02,2019-08-01 12:07:13,11.455s,PASSED
tap,,,2019-08-01 12:07:13,2019-08-01 12:07:22,8.377s,PASSED
delay,,,2019-08-01 12:07:22,2019-08-01 12:07:25,3.080s,PASSED
verifyElementText,,,2019-08-01 12:07:25,2019-08-01 12:07:26,0.794s,PASSED
,,,,,,
Test Cases/OTP/LoginOTP,,,2019-08-01 12:07:26,2019-08-01 12:08:56,1m - 30.692s,PASSED
delay,,,2019-08-01 12:07:26,2019-08-01 12:07:29,3.021s,PASSED
tap,,,2019-08-01 12:07:29,2019-08-01 12:08:02,33.554s,PASSED
setText,,,2019-08-01 12:08:02,2019-08-01 12:08:31,28.493s,PASSED
tap,,,2019-08-01 12:08:31,2019-08-01 12:08:56,25.309s,PASSED
,,,,,,
Test Cases/Consultation/CreateConsultation,,,2019-08-01 12:08:56,2019-08-01 12:09:44,47.560s,FAILED
delay,,,2019-08-01 12:08:57,2019-08-01 12:09:02,5.005s,PASSED
tap,,,2019-08-01 12:09:02,2019-08-01 12:09:06,4.021s,PASSED
delay,,,2019-08-01 12:09:06,2019-08-01 12:09:11,5.008s,PASSED
tap,,,2019-08-01 12:09:11,2019-08-01 12:09:44,32.620s,FAILED
