Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DapatkanRekomendasi,,,2019-07-02 17:19:15,2019-07-02 17:21:33,2m - 17.760s,FAILED
,,,,,,
Test Cases/Login/LoginTrue,,,2019-07-02 17:19:16,2019-07-02 17:20:17,1m - 1.319s,PASSED
startApplication,,,2019-07-02 17:19:17,2019-07-02 17:19:44,27.268s,PASSED
verifyElementText,,,2019-07-02 17:19:44,2019-07-02 17:19:50,5.813s,PASSED
tap,,,2019-07-02 17:19:50,2019-07-02 17:19:51,1.372s,PASSED
"Statement - For ([i = 0, i < 4, (i++)])",,,2019-07-02 17:19:51,2019-07-02 17:20:07,15.718s,PASSED
setText,,,2019-07-02 17:20:07,2019-07-02 17:20:10,3.006s,PASSED
tap,,,2019-07-02 17:20:10,2019-07-02 17:20:12,1.649s,PASSED
delay,,,2019-07-02 17:20:12,2019-07-02 17:20:15,3.039s,PASSED
verifyElementText,,,2019-07-02 17:20:15,2019-07-02 17:20:17,2.602s,PASSED
,,,,,,
Test Cases/OTP/LoginOTP,,,2019-07-02 17:20:17,2019-07-02 17:20:25,8.100s,PASSED
delay,,,2019-07-02 17:20:18,2019-07-02 17:20:21,3.012s,PASSED
tap,,,2019-07-02 17:20:21,2019-07-02 17:20:22,1.203s,PASSED
setText,,,2019-07-02 17:20:22,2019-07-02 17:20:23,1.100s,PASSED
tap,,,2019-07-02 17:20:23,2019-07-02 17:20:25,2.234s,PASSED
,,,,,,
Test Cases/Home/TujuanFinansialUtamaKu/EditTujuanFinansial,,,2019-07-02 17:20:25,2019-07-02 17:21:00,34.790s,FAILED
delay,,,2019-07-02 17:20:26,2019-07-02 17:20:29,3.016s,PASSED
tap,,,2019-07-02 17:20:29,2019-07-02 17:21:00,31.276s,FAILED
,,,,,,
Test Cases/Home/TujuanFinansialUtamaKu/DapatkanRekomendasi,,,2019-07-02 17:21:00,2019-07-02 17:21:31,30.805s,FAILED
tap,,,2019-07-02 17:21:00,2019-07-02 17:21:31,30.664s,FAILED
