Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
EditTujuanFinansialKu,,,2019-07-02 14:41:08,2019-07-02 14:42:28,1m - 20.513s,PASSED
,,,,,,
Test Cases/Login/LoginTrue,,,2019-07-02 14:41:09,2019-07-02 14:42:06,57.324s,PASSED
startApplication,,,2019-07-02 14:41:09,2019-07-02 14:41:36,27.145s,PASSED
verifyElementText,,,2019-07-02 14:41:36,2019-07-02 14:41:42,5.427s,PASSED
tap,,,2019-07-02 14:41:42,2019-07-02 14:41:43,1.636s,PASSED
"Statement - For ([i = 0, i < 4, (i++)])",,,2019-07-02 14:41:43,2019-07-02 14:41:59,15.441s,PASSED
setText,,,2019-07-02 14:41:59,2019-07-02 14:42:01,2.355s,PASSED
tap,,,2019-07-02 14:42:01,2019-07-02 14:42:03,1.438s,PASSED
delay,,,2019-07-02 14:42:03,2019-07-02 14:42:06,3.060s,PASSED
verifyElementText,,,2019-07-02 14:42:06,2019-07-02 14:42:06,0.255s,PASSED
,,,,,,
Test Cases/OTP/LoginOTP,,,2019-07-02 14:42:06,2019-07-02 14:42:14,8.285s,PASSED
delay,,,2019-07-02 14:42:06,2019-07-02 14:42:09,3.017s,PASSED
tap,,,2019-07-02 14:42:09,2019-07-02 14:42:11,1.512s,PASSED
setText,,,2019-07-02 14:42:11,2019-07-02 14:42:12,1.057s,PASSED
tap,,,2019-07-02 14:42:12,2019-07-02 14:42:14,2.452s,PASSED
,,,,,,
Test Cases/Home/TujuanFinansialUtamaKu/EditTujuanFinansial,,,2019-07-02 14:42:14,2019-07-02 14:42:25,11.352s,PASSED
delay,,,2019-07-02 14:42:14,2019-07-02 14:42:17,3.007s,PASSED
tap,,,2019-07-02 14:42:17,2019-07-02 14:42:21,4.063s,PASSED
delay,,,2019-07-02 14:42:21,2019-07-02 14:42:24,3.006s,PASSED
tap,,,2019-07-02 14:42:24,2019-07-02 14:42:25,1.043s,PASSED
