Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Reedem,,,2019-08-20 17:45:58,2019-08-20 17:47:36,1m - 38.239s,PASSED
,,,,,,
Test Cases/Login/LoginTrue,,,2019-08-20 17:45:58,2019-08-20 17:46:39,40.760s,PASSED
"startApplication(""/Users/fundtastic/Downloads/mobile-debug (dev).apk"", true)",,,2019-08-20 17:45:58,2019-08-20 17:46:13,14.768s,PASSED
"verifyElementText(findTestObject(""LoginTrue/Mulailah berinvestasi untuk meraih mimpimu""), ""Mulailah berinvestasi untuk meraih mimpimu"")",,,2019-08-20 17:46:13,2019-08-20 17:46:17,4.145s,PASSED
"for ([i = 0, i < 4, (i++)])",,,2019-08-20 17:46:17,2019-08-20 17:46:31,13.424s,PASSED
"setText(findTestObject(""LoginTrue/field_no_phone""), ""08777111777"", 0)",,,2019-08-20 17:46:31,2019-08-20 17:46:33,1.876s,PASSED
"tap(findTestObject(""LoginTrue/button_masuk""), 0)",,,2019-08-20 17:46:33,2019-08-20 17:46:35,2.063s,PASSED
"delay(3, STOP_ON_FAILURE)",,,2019-08-20 17:46:35,2019-08-20 17:46:38,3.022s,PASSED
"verifyElementText(findTestObject(""ObjectOTP/TextView - Verifikasi Nomor HP""), ""Verifikasi Nomor HP"")",,,2019-08-20 17:46:38,2019-08-20 17:46:38,0.149s,PASSED
"delay(1, STOP_ON_FAILURE)",,,2019-08-20 17:46:38,2019-08-20 17:46:39,1.004s,PASSED
,,,,,,
Test Cases/OTP/LoginOTP,,,2019-08-20 17:46:39,2019-08-20 17:46:48,9.074s,PASSED
"delay(3, STOP_ON_FAILURE)",,,2019-08-20 17:46:39,2019-08-20 17:46:42,3.004s,PASSED
"tap(findTestObject(""ObjectOTP/Field_OTP""), 0)",,,2019-08-20 17:46:42,2019-08-20 17:46:44,1.528s,PASSED
"setText(findTestObject(""ObjectOTP/Field_OTP""), ""8888"", 0)",,,2019-08-20 17:46:44,2019-08-20 17:46:45,1.050s,PASSED
"delay(2, STOP_ON_FAILURE)",,,2019-08-20 17:46:45,2019-08-20 17:46:47,2.006s,PASSED
"tap(findTestObject(""ObjectOTP/Btn_Verifikasi1""), 0)",,,2019-08-20 17:46:47,2019-08-20 17:46:48,1.348s,PASSED
,,,,,,
Test Cases/Home/Home,,,2019-08-20 17:46:48,2019-08-20 17:46:55,7.133s,PASSED
"delay(7, STOP_ON_FAILURE)",,,2019-08-20 17:46:48,2019-08-20 17:46:55,7.003s,PASSED
,,,,,,
Test Cases/Home/Gold/Reedem,,,2019-08-20 17:46:55,2019-08-20 17:47:35,40.062s,PASSED
"tap(findTestObject(""Home/Gold/Reedem/android.widget.FrameLayout10""), 0)",,,2019-08-20 17:46:55,2019-08-20 17:46:57,1.526s,PASSED
"delay(3, STOP_ON_FAILURE)",,,2019-08-20 17:46:57,2019-08-20 17:47:00,3.005s,PASSED
"tap(findTestObject(""Home/Gold/Reedem/CardGold2""), 0)",,,2019-08-20 17:47:00,2019-08-20 17:47:01,1.091s,PASSED
"delay(7, STOP_ON_FAILURE)",,,2019-08-20 17:47:01,2019-08-20 17:47:08,7.002s,PASSED
"tap(findTestObject(""Home/Gold/Reedem/android.widget.LinearLayout26""), 0)",,,2019-08-20 17:47:08,2019-08-20 17:47:09,1.377s,PASSED
"delay(2, STOP_ON_FAILURE)",,,2019-08-20 17:47:09,2019-08-20 17:47:11,2.005s,PASSED
"tap(findTestObject(""Home/Gold/Reedem/com.google.android.material.chip.Chip2 - Rp 300.000""), 0)",,,2019-08-20 17:47:11,2019-08-20 17:47:12,0.933s,PASSED
"delay(3, STOP_ON_FAILURE)",,,2019-08-20 17:47:12,2019-08-20 17:47:15,3.005s,PASSED
"tap(findTestObject(""Home/Gold/Reedem/android.widget.TextView0 - JUAL SEKARANG""), 0)",,,2019-08-20 17:47:15,2019-08-20 17:47:16,1.046s,PASSED
"delay(5, STOP_ON_FAILURE)",,,2019-08-20 17:47:16,2019-08-20 17:47:21,5.006s,PASSED
"tap(findTestObject(""Home/Gold/Reedem/android.widget.TextView16 - KONFIRMASI""), 0)",,,2019-08-20 17:47:21,2019-08-20 17:47:22,0.888s,PASSED
"delay(5, STOP_ON_FAILURE)",,,2019-08-20 17:47:22,2019-08-20 17:47:27,5.005s,PASSED
pressBack(),,,2019-08-20 17:47:27,2019-08-20 17:47:27,0.145s,PASSED
"delay(2, STOP_ON_FAILURE)",,,2019-08-20 17:47:27,2019-08-20 17:47:29,2.003s,PASSED
"tap(findTestObject(""Home/Gold/Reedem/android.widget.ImageView0""), 0)",,,2019-08-20 17:47:29,2019-08-20 17:47:30,0.905s,PASSED
"delay(5, STOP_ON_FAILURE)",,,2019-08-20 17:47:30,2019-08-20 17:47:35,5.005s,PASSED
