Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Subscribe,,,2019-08-19 18:24:38,2019-08-19 18:26:10,1m - 31.985s,FAILED
,,,,,,
Test Cases/Login/LoginTrue,,,2019-08-19 18:24:38,2019-08-19 18:25:18,39.517s,PASSED
"startApplication(""/Users/fundtastic/Downloads/mobile-debug (dev).apk"", true)",,,2019-08-19 18:24:39,2019-08-19 18:24:52,13.500s,PASSED
"verifyElementText(findTestObject(""LoginTrue/Mulailah berinvestasi untuk meraih mimpimu""), ""Mulailah berinvestasi untuk meraih mimpimu"")",,,2019-08-19 18:24:52,2019-08-19 18:24:56,4.066s,PASSED
"tap(findTestObject(""LoginTrue/DP_Rumah""), 0)",,,2019-08-19 18:24:56,2019-08-19 18:24:57,0.945s,PASSED
"for ([i = 0, i < 4, (i++)])",,,2019-08-19 18:24:57,2019-08-19 18:25:10,13.459s,PASSED
"setText(findTestObject(""LoginTrue/field_no_phone""), ""08777111777"", 0)",,,2019-08-19 18:25:10,2019-08-19 18:25:12,1.319s,PASSED
"tap(findTestObject(""LoginTrue/button_masuk""), 0)",,,2019-08-19 18:25:12,2019-08-19 18:25:13,1.356s,PASSED
"delay(3, STOP_ON_FAILURE)",,,2019-08-19 18:25:13,2019-08-19 18:25:16,3.020s,PASSED
"verifyElementText(findTestObject(""ObjectOTP/TextView - Verifikasi Nomor HP""), ""Verifikasi Nomor HP"")",,,2019-08-19 18:25:16,2019-08-19 18:25:17,0.610s,PASSED
"delay(1, STOP_ON_FAILURE)",,,2019-08-19 18:25:17,2019-08-19 18:25:18,1.003s,PASSED
,,,,,,
Test Cases/OTP/LoginOTP,,,2019-08-19 18:25:18,2019-08-19 18:25:26,8.309s,PASSED
"delay(3, STOP_ON_FAILURE)",,,2019-08-19 18:25:18,2019-08-19 18:25:21,3.002s,PASSED
"tap(findTestObject(""ObjectOTP/Field_OTP""), 0)",,,2019-08-19 18:25:21,2019-08-19 18:25:22,0.792s,PASSED
"setText(findTestObject(""ObjectOTP/Field_OTP""), ""8888"", 0)",,,2019-08-19 18:25:22,2019-08-19 18:25:23,1.040s,PASSED
"delay(2, STOP_ON_FAILURE)",,,2019-08-19 18:25:23,2019-08-19 18:25:25,2.006s,PASSED
"tap(findTestObject(""ObjectOTP/Btn_Verifikasi1""), 0)",,,2019-08-19 18:25:25,2019-08-19 18:25:26,1.360s,PASSED
,,,,,,
Test Cases/Home/Home,,,2019-08-19 18:25:26,2019-08-19 18:25:33,7.103s,PASSED
"delay(7, STOP_ON_FAILURE)",,,2019-08-19 18:25:26,2019-08-19 18:25:33,7.006s,PASSED
,,,,,,
Test Cases/Home/Gold/Subscribe,,,2019-08-19 18:25:33,2019-08-19 18:26:09,36.151s,FAILED
"tap(findTestObject(""Home/Gold/Subscribe/android.widget.ImageView6""), 0)",,,2019-08-19 18:25:33,2019-08-19 18:25:36,2.412s,PASSED
"delay(3, STOP_ON_FAILURE)",,,2019-08-19 18:25:36,2019-08-19 18:25:39,3.008s,PASSED
"tap(findTestObject(""Home/Gold/Subscribe/android.widget.TextView23 - BELI""), 0)",,,2019-08-19 18:25:39,2019-08-19 18:26:09,30.629s,FAILED
