Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TopUp,,,2019-08-21 11:53:52,2019-08-21 11:55:54,2m - 2.512s,PASSED
,,,,,,
Test Cases/Login/LoginTrue,,,2019-08-21 11:53:52,2019-08-21 11:54:38,45.648s,PASSED
"startApplication(""/Users/fundtastic/Downloads/mobile-debug (dev).apk"", true)",,,2019-08-21 11:53:52,2019-08-21 11:54:09,17.097s,PASSED
"verifyElementText(findTestObject(""LoginTrue/Mulailah berinvestasi untuk meraih mimpimu""), ""Mulailah berinvestasi untuk meraih mimpimu"")",,,2019-08-21 11:54:09,2019-08-21 11:54:14,4.394s,PASSED
"for ([i = 0, i < 4, (i++)])",,,2019-08-21 11:54:14,2019-08-21 11:54:30,16.124s,PASSED
"setText(findTestObject(""LoginTrue/field_no_phone""), ""08777111777"", 0)",,,2019-08-21 11:54:30,2019-08-21 11:54:32,2.078s,PASSED
"tap(findTestObject(""LoginTrue/button_masuk""), 0)",,,2019-08-21 11:54:32,2019-08-21 11:54:33,1.427s,PASSED
"delay(3, STOP_ON_FAILURE)",,,2019-08-21 11:54:33,2019-08-21 11:54:36,3.029s,PASSED
"verifyElementText(findTestObject(""ObjectOTP/TextView - Verifikasi Nomor HP""), ""Verifikasi Nomor HP"")",,,2019-08-21 11:54:36,2019-08-21 11:54:37,0.188s,PASSED
"delay(1, STOP_ON_FAILURE)",,,2019-08-21 11:54:37,2019-08-21 11:54:38,1.006s,PASSED
,,,,,,
Test Cases/OTP/LoginOTP,,,2019-08-21 11:54:38,2019-08-21 11:54:47,8.976s,PASSED
"delay(3, STOP_ON_FAILURE)",,,2019-08-21 11:54:38,2019-08-21 11:54:41,3.013s,PASSED
"tap(findTestObject(""ObjectOTP/Field_OTP""), 0)",,,2019-08-21 11:54:41,2019-08-21 11:54:42,1.389s,PASSED
"setText(findTestObject(""ObjectOTP/Field_OTP""), ""8888"", 0)",,,2019-08-21 11:54:42,2019-08-21 11:54:43,1.086s,PASSED
"delay(2, STOP_ON_FAILURE)",,,2019-08-21 11:54:43,2019-08-21 11:54:45,2.002s,PASSED
"tap(findTestObject(""ObjectOTP/Btn_Verifikasi1""), 0)",,,2019-08-21 11:54:45,2019-08-21 11:54:47,1.355s,PASSED
,,,,,,
Test Cases/Home/Home,,,2019-08-21 11:54:47,2019-08-21 11:54:54,7.125s,PASSED
"delay(7, STOP_ON_FAILURE)",,,2019-08-21 11:54:47,2019-08-21 11:54:54,7.002s,PASSED
,,,,,,
Test Cases/Home/Gold/TopUp,,,2019-08-21 11:54:54,2019-08-21 11:55:53,59.239s,PASSED
"delay(3, STOP_ON_FAILURE)",,,2019-08-21 11:54:54,2019-08-21 11:54:57,3.005s,PASSED
"tap(findTestObject(""Home/Gold/TopUp/android.widget.FrameLayout10""), 0)",,,2019-08-21 11:54:57,2019-08-21 11:54:59,1.729s,PASSED
"delay(7, STOP_ON_FAILURE)",,,2019-08-21 11:54:59,2019-08-21 11:55:06,7.002s,PASSED
"tap(findTestObject(""Home/Gold/TopUp/CardEmas2""), 0)",,,2019-08-21 11:55:06,2019-08-21 11:55:09,3.028s,PASSED
"delay(3, STOP_ON_FAILURE)",,,2019-08-21 11:55:09,2019-08-21 11:55:12,3.004s,PASSED
"tap(findTestObject(""Home/Gold/TopUp/android.widget.LinearLayout25""), 0)",,,2019-08-21 11:55:12,2019-08-21 11:55:15,3.355s,PASSED
"delay(3, STOP_ON_FAILURE)",,,2019-08-21 11:55:15,2019-08-21 11:55:18,3.004s,PASSED
"tap(findTestObject(""Home/Gold/TopUp/android.widget.CheckBox0""), 0)",,,2019-08-21 11:55:18,2019-08-21 11:55:19,0.821s,PASSED
"delay(3, STOP_ON_FAILURE)",,,2019-08-21 11:55:19,2019-08-21 11:55:22,3.005s,PASSED
"tap(findTestObject(""Home/Gold/TopUp/android.widget.LinearLayout6""), 0)",,,2019-08-21 11:55:22,2019-08-21 11:55:23,1.499s,PASSED
"delay(3, STOP_ON_FAILURE)",,,2019-08-21 11:55:23,2019-08-21 11:55:26,3.006s,PASSED
"tap(findTestObject(""Home/Gold/TopUp/android.widget.RadioButton1 - 0.25 Gram""), 0)",,,2019-08-21 11:55:26,2019-08-21 11:55:27,0.971s,PASSED
"delay(3, STOP_ON_FAILURE)",,,2019-08-21 11:55:27,2019-08-21 11:55:30,3.002s,PASSED
"tap(findTestObject(""Home/Gold/TopUp/android.widget.TextView0 - BELI SEKARANG""), 0)",,,2019-08-21 11:55:30,2019-08-21 11:55:31,1.017s,PASSED
"delay(3, STOP_ON_FAILURE)",,,2019-08-21 11:55:31,2019-08-21 11:55:34,3.005s,PASSED
"tap(findTestObject(""Home/Gold/TopUp/android.widget.ImageView1""), 0)",,,2019-08-21 11:55:34,2019-08-21 11:55:35,0.915s,PASSED
"delay(3, STOP_ON_FAILURE)",,,2019-08-21 11:55:35,2019-08-21 11:55:38,3.002s,PASSED
"tap(findTestObject(""Home/Gold/TopUp/android.widget.LinearLayout22""), 0)",,,2019-08-21 11:55:38,2019-08-21 11:55:42,3.440s,PASSED
"delay(3, STOP_ON_FAILURE)",,,2019-08-21 11:55:42,2019-08-21 11:55:45,3.001s,PASSED
"tap(findTestObject(""Home/Gold/TopUp/android.widget.ImageButton1""), 0)",,,2019-08-21 11:55:45,2019-08-21 11:55:48,3.305s,PASSED
"delay(5, STOP_ON_FAILURE)",,,2019-08-21 11:55:48,2019-08-21 11:55:53,5.006s,PASSED
