Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Home,,,2019-08-20 13:35:02,2019-08-20 13:37:02,1m - 59.907s,FAILED
,,,,,,
Test Cases/Login/LoginTrue,,,2019-08-20 13:35:02,2019-08-20 13:36:17,1m - 14.184s,FAILED
startApplication,,,2019-08-20 13:35:03,2019-08-20 13:35:39,35.854s,PASSED
verifyElementText,,,2019-08-20 13:35:39,2019-08-20 13:35:45,6.728s,PASSED
tap,,,2019-08-20 13:35:45,2019-08-20 13:36:17,31.105s,FAILED
,,,,,,
Test Cases/OTP/LoginOTP,,,2019-08-20 13:36:17,2019-08-20 13:36:52,35.556s,FAILED
delay,,,2019-08-20 13:36:17,2019-08-20 13:36:20,3.027s,PASSED
tap,,,2019-08-20 13:36:20,2019-08-20 13:36:52,32.289s,FAILED
,,,,,,
Test Cases/Home/Home,,,2019-08-20 13:36:52,2019-08-20 13:37:00,7.606s,PASSED
delay,,,2019-08-20 13:36:53,2019-08-20 13:37:00,7.022s,PASSED
