Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ListUpdateTerbaru,,,2019-07-11 15:24:30,2019-07-11 15:25:49,1m - 19.460s,PASSED
,,,,,,
Test Cases/Login/LoginTrue,,,2019-07-11 15:24:30,2019-07-11 15:25:21,50.218s,PASSED
startApplication,,,2019-07-11 15:24:31,2019-07-11 15:24:48,17.481s,PASSED
verifyElementText,,,2019-07-11 15:24:48,2019-07-11 15:24:55,6.302s,PASSED
tap,,,2019-07-11 15:24:55,2019-07-11 15:24:56,1.220s,PASSED
"Statement - For ([i = 0, i < 4, (i++)])",,,2019-07-11 15:24:56,2019-07-11 15:25:14,17.811s,PASSED
setText,,,2019-07-11 15:25:14,2019-07-11 15:25:16,1.886s,PASSED
tap,,,2019-07-11 15:25:16,2019-07-11 15:25:17,1.434s,PASSED
delay,,,2019-07-11 15:25:17,2019-07-11 15:25:20,3.028s,PASSED
verifyElementText,,,2019-07-11 15:25:20,2019-07-11 15:25:21,0.571s,PASSED
,,,,,,
Test Cases/OTP/LoginOTP,,,2019-07-11 15:25:21,2019-07-11 15:25:28,7.931s,PASSED
delay,,,2019-07-11 15:25:21,2019-07-11 15:25:24,3.010s,PASSED
tap,,,2019-07-11 15:25:24,2019-07-11 15:25:25,1.649s,PASSED
setText,,,2019-07-11 15:25:25,2019-07-11 15:25:26,1.061s,PASSED
tap,,,2019-07-11 15:25:26,2019-07-11 15:25:28,2.012s,PASSED
,,,,,,
Test Cases/Home/UpdateTerbaru,,,2019-07-11 15:25:28,2019-07-11 15:25:47,18.760s,PASSED
delay,,,2019-07-11 15:25:29,2019-07-11 15:25:36,7.011s,PASSED
tapAndHold,,,2019-07-11 15:25:36,2019-07-11 15:25:39,2.996s,PASSED
Statement - device_Height = com.kms.katalon.core.mobile.keyword.MobileBuiltInKeywords.getDeviceHeight(),,Get Device Height and Store in device_height variable,2019-07-11 15:25:39,2019-07-11 15:25:39,0.461s,PASSED
Statement - device_Width = com.kms.katalon.core.mobile.keyword.MobileBuiltInKeywords.getDeviceWidth(),,Get Width Height and Store in device_Width variable,2019-07-11 15:25:39,2019-07-11 15:25:40,0.439s,PASSED
Statement - startX = device_Width / 2,,Storing the startX value by dividing device width by 2. Because x coordinates are constant for Vertical Swiping,2019-07-11 15:25:40,2019-07-11 15:25:40,0.003s,PASSED
Statement - endX = startX,,Here startX and endX values are equal for vertical Swiping for that assigning startX value to endX,2019-07-11 15:25:40,2019-07-11 15:25:40,0.001s,PASSED
Statement - startY = device_Height * 0.30,,Storing the startY value,2019-07-11 15:25:40,2019-07-11 15:25:40,0.003s,PASSED
Statement - endY = device_Height * 0.70,,Storing the endY value,2019-07-11 15:25:40,2019-07-11 15:25:40,0.001s,PASSED
swipe,,Swipe Vertical from top to bottom,2019-07-11 15:25:40,2019-07-11 15:25:42,2.480s,PASSED
delay,,,2019-07-11 15:25:42,2019-07-11 15:25:47,5.005s,PASSED
