Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LoginOTP,,,2019-07-02 14:01:36,2019-07-02 14:02:52,1m - 16.061s,PASSED
,,,,,,
Test Cases/Login/LoginTrue,,,2019-07-02 14:01:37,2019-07-02 14:02:41,1m - 4.540s,PASSED
startApplication,,,2019-07-02 14:01:37,2019-07-02 14:02:12,34.546s,PASSED
verifyElementText,,,2019-07-02 14:02:12,2019-07-02 14:02:18,6.413s,PASSED
tap,,,2019-07-02 14:02:18,2019-07-02 14:02:19,1.162s,PASSED
"Statement - For ([i = 0, i < 4, (i++)])",,,2019-07-02 14:02:19,2019-07-02 14:02:34,14.985s,PASSED
setText,,,2019-07-02 14:02:34,2019-07-02 14:02:36,2.015s,PASSED
tap,,,2019-07-02 14:02:36,2019-07-02 14:02:38,1.523s,PASSED
delay,,,2019-07-02 14:02:38,2019-07-02 14:02:41,3.046s,PASSED
verifyElementText,,,2019-07-02 14:02:41,2019-07-02 14:02:41,0.204s,PASSED
,,,,,,
Test Cases/OTP/LoginOTP,,,2019-07-02 14:02:41,2019-07-02 14:02:49,7.879s,PASSED
delay,,,2019-07-02 14:02:41,2019-07-02 14:02:44,3.011s,PASSED
tap,,,2019-07-02 14:02:44,2019-07-02 14:02:46,1.557s,PASSED
setText,,,2019-07-02 14:02:46,2019-07-02 14:02:47,1.092s,PASSED
tap,,,2019-07-02 14:02:47,2019-07-02 14:02:49,1.980s,PASSED
