Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LoginTrue,,,2019-07-02 13:51:44,2019-07-02 13:52:48,1m - 3.622s,PASSED
,,,,,,
Test Cases/Login/LoginTrue,,,2019-07-02 13:51:45,2019-07-02 13:52:44,58.875s,PASSED
startApplication,,,2019-07-02 13:51:47,2019-07-02 13:52:13,25.964s,PASSED
verifyElementText,,,2019-07-02 13:52:13,2019-07-02 13:52:18,5.714s,PASSED
tap,,,2019-07-02 13:52:18,2019-07-02 13:52:20,1.185s,PASSED
"Statement - For ([i = 0, i < 4, (i++)])",,,2019-07-02 13:52:20,2019-07-02 13:52:35,15.245s,PASSED
setText,,,2019-07-02 13:52:35,2019-07-02 13:52:37,2.574s,PASSED
tap,,,2019-07-02 13:52:37,2019-07-02 13:52:40,2.485s,PASSED
delay,,,2019-07-02 13:52:40,2019-07-02 13:52:43,3.346s,PASSED
verifyElementText,,,2019-07-02 13:52:43,2019-07-02 13:52:44,1.082s,PASSED
