Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
AddToCart,,,2019-08-19 15:27:51,2019-08-19 15:29:37,1m - 46.144s,FAILED
,,,,,,
Test Cases/Login/LoginTrue,,,2019-08-19 15:27:52,2019-08-19 15:28:33,40.996s,PASSED
"startApplication(""/Users/fundtastic/Downloads/mobile-debug (dev).apk"", true)",,,2019-08-19 15:27:52,2019-08-19 15:28:06,13.789s,PASSED
"verifyElementText(findTestObject(""LoginTrue/Mulailah berinvestasi untuk meraih mimpimu""), ""Mulailah berinvestasi untuk meraih mimpimu"")",,,2019-08-19 15:28:06,2019-08-19 15:28:09,3.826s,PASSED
"tap(findTestObject(""LoginTrue/DP_Rumah""), 0)",,,2019-08-19 15:28:09,2019-08-19 15:28:11,1.958s,PASSED
"for ([i = 0, i < 4, (i++)])",,,2019-08-19 15:28:11,2019-08-19 15:28:24,13.109s,PASSED
"setText(findTestObject(""LoginTrue/field_no_phone""), ""08777111777"", 0)",,,2019-08-19 15:28:24,2019-08-19 15:28:26,1.320s,PASSED
"tap(findTestObject(""LoginTrue/button_masuk""), 0)",,,2019-08-19 15:28:26,2019-08-19 15:28:28,2.101s,PASSED
"delay(3, STOP_ON_FAILURE)",,,2019-08-19 15:28:28,2019-08-19 15:28:31,3.021s,PASSED
"verifyElementText(findTestObject(""ObjectOTP/TextView - Verifikasi Nomor HP""), ""Verifikasi Nomor HP"")",,,2019-08-19 15:28:31,2019-08-19 15:28:32,0.629s,PASSED
"delay(1, STOP_ON_FAILURE)",,,2019-08-19 15:28:32,2019-08-19 15:28:33,1.004s,PASSED
,,,,,,
Test Cases/OTP/LoginOTP,,,2019-08-19 15:28:33,2019-08-19 15:28:41,8.496s,PASSED
"delay(3, STOP_ON_FAILURE)",,,2019-08-19 15:28:33,2019-08-19 15:28:36,3.006s,PASSED
"tap(findTestObject(""ObjectOTP/Field_OTP""), 0)",,,2019-08-19 15:28:36,2019-08-19 15:28:36,0.860s,PASSED
"setText(findTestObject(""ObjectOTP/Field_OTP""), ""8888"", 0)",,,2019-08-19 15:28:36,2019-08-19 15:28:38,1.056s,PASSED
"delay(2, STOP_ON_FAILURE)",,,2019-08-19 15:28:38,2019-08-19 15:28:40,2.006s,PASSED
"tap(findTestObject(""ObjectOTP/Btn_Verifikasi1""), 0)",,,2019-08-19 15:28:40,2019-08-19 15:28:41,1.468s,PASSED
,,,,,,
Test Cases/Home/Portfolio/AddToCart/AddToCart,,,2019-08-19 15:28:41,2019-08-19 15:29:37,55.807s,FAILED
"delay(5, STOP_ON_FAILURE)",,,2019-08-19 15:28:41,2019-08-19 15:28:46,5.006s,PASSED
"tap(findTestObject(""Home/Portfolio/AddToCart/android.widget.FrameLayout10""), 0)",,,2019-08-19 15:28:46,2019-08-19 15:28:47,1.363s,PASSED
"delay(10, STOP_ON_FAILURE)",,,2019-08-19 15:28:47,2019-08-19 15:28:58,10.012s,PASSED
"tap(findTestObject(""Home/Portfolio/AddToCart/android.widget.LinearLayout10""), 0)",,,2019-08-19 15:28:58,2019-08-19 15:29:00,2.931s,PASSED
"delay(5, STOP_ON_FAILURE)",,,2019-08-19 15:29:00,2019-08-19 15:29:05,5.006s,PASSED
"tap(findTestObject(""Home/Portfolio/AddToCart/android.widget.LinearLayout17""), 0)",,,2019-08-19 15:29:05,2019-08-19 15:29:37,31.373s,FAILED
