Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Reedem,,,2019-08-19 17:50:34,2019-08-19 17:52:51,2m - 17.797s,FAILED
,,,,,,
Test Cases/Login/LoginTrue,,,2019-08-19 17:50:34,2019-08-19 17:51:14,40.527s,PASSED
"startApplication(""/Users/fundtastic/Downloads/mobile-debug (dev).apk"", true)",,,2019-08-19 17:50:34,2019-08-19 17:50:48,13.871s,PASSED
"verifyElementText(findTestObject(""LoginTrue/Mulailah berinvestasi untuk meraih mimpimu""), ""Mulailah berinvestasi untuk meraih mimpimu"")",,,2019-08-19 17:50:48,2019-08-19 17:50:52,4.220s,PASSED
"tap(findTestObject(""LoginTrue/DP_Rumah""), 0)",,,2019-08-19 17:50:52,2019-08-19 17:50:53,0.961s,PASSED
"for ([i = 0, i < 4, (i++)])",,,2019-08-19 17:50:53,2019-08-19 17:51:07,13.929s,PASSED
"setText(findTestObject(""LoginTrue/field_no_phone""), ""08777111777"", 0)",,,2019-08-19 17:51:07,2019-08-19 17:51:08,1.335s,PASSED
"tap(findTestObject(""LoginTrue/button_masuk""), 0)",,,2019-08-19 17:51:08,2019-08-19 17:51:10,1.348s,PASSED
"delay(3, STOP_ON_FAILURE)",,,2019-08-19 17:51:10,2019-08-19 17:51:13,3.019s,PASSED
"verifyElementText(findTestObject(""ObjectOTP/TextView - Verifikasi Nomor HP""), ""Verifikasi Nomor HP"")",,,2019-08-19 17:51:13,2019-08-19 17:51:13,0.582s,PASSED
"delay(1, STOP_ON_FAILURE)",,,2019-08-19 17:51:13,2019-08-19 17:51:14,1.005s,PASSED
,,,,,,
Test Cases/OTP/LoginOTP,,,2019-08-19 17:51:14,2019-08-19 17:51:23,8.326s,PASSED
"delay(3, STOP_ON_FAILURE)",,,2019-08-19 17:51:14,2019-08-19 17:51:17,3.006s,PASSED
"tap(findTestObject(""ObjectOTP/Field_OTP""), 0)",,,2019-08-19 17:51:17,2019-08-19 17:51:18,0.875s,PASSED
"setText(findTestObject(""ObjectOTP/Field_OTP""), ""8888"", 0)",,,2019-08-19 17:51:18,2019-08-19 17:51:19,1.040s,PASSED
"delay(2, STOP_ON_FAILURE)",,,2019-08-19 17:51:19,2019-08-19 17:51:21,2.003s,PASSED
"tap(findTestObject(""ObjectOTP/Btn_Verifikasi1""), 0)",,,2019-08-19 17:51:21,2019-08-19 17:51:23,1.303s,PASSED
,,,,,,
Test Cases/Home/Home,,,2019-08-19 17:51:23,2019-08-19 17:51:30,7.088s,PASSED
"delay(7, STOP_ON_FAILURE)",,,2019-08-19 17:51:23,2019-08-19 17:51:30,7.002s,PASSED
,,,,,,
Test Cases/Home/Portfolio/Reedem,,,2019-08-19 17:51:30,2019-08-19 17:52:15,44.917s,PASSED
"delay(5, STOP_ON_FAILURE)",,,2019-08-19 17:51:30,2019-08-19 17:51:35,5.004s,PASSED
"tap(findTestObject(""Home/Portfolio/Reedem/android.widget.FrameLayout11""), 0)",,,2019-08-19 17:51:35,2019-08-19 17:51:36,1.380s,PASSED
"delay(7, STOP_ON_FAILURE)",,,2019-08-19 17:51:36,2019-08-19 17:51:43,7.005s,PASSED
"tap(findTestObject(""Home/Portfolio/TopUP/CardReksa2""), 5)",,,2019-08-19 17:51:43,2019-08-19 17:51:45,1.297s,PASSED
"delay(5, STOP_ON_FAILURE)",,,2019-08-19 17:51:45,2019-08-19 17:51:50,5.004s,PASSED
"tap(findTestObject(""Home/Portfolio/Reedem/android.widget.TextView11 - JUAL (1)""), 0)",,,2019-08-19 17:51:50,2019-08-19 17:51:51,1.723s,PASSED
"delay(5, STOP_ON_FAILURE)",,,2019-08-19 17:51:51,2019-08-19 17:51:56,5.004s,PASSED
"tap(findTestObject(""Home/Portfolio/Reedem/JualSekarang1""), 0)",,,2019-08-19 17:51:56,2019-08-19 17:51:58,1.805s,PASSED
"delay(5, STOP_ON_FAILURE)",,,2019-08-19 17:51:58,2019-08-19 17:52:03,5.005s,PASSED
"tap(findTestObject(""Home/Portfolio/Reedem/android.widget.ImageView1""), 0)",,,2019-08-19 17:52:03,2019-08-19 17:52:04,0.851s,PASSED
"delay(5, STOP_ON_FAILURE)",,,2019-08-19 17:52:04,2019-08-19 17:52:09,5.005s,PASSED
"tap(findTestObject(""Home/Portfolio/Reedem/ReedemConfirmation/BtnKonfirmasi""), 0)",,,2019-08-19 17:52:09,2019-08-19 17:52:10,0.746s,PASSED
"delay(5, STOP_ON_FAILURE)",,,2019-08-19 17:52:10,2019-08-19 17:52:15,5.003s,PASSED
,,,,,,
Test Cases/Home/Portfolio/ReedemConfirmation,,,2019-08-19 17:52:15,2019-08-19 17:52:51,36.038s,FAILED
"delay(5, STOP_ON_FAILURE)",,,2019-08-19 17:52:15,2019-08-19 17:52:20,5.002s,PASSED
"verifyElementText(findTestObject(""Home/Portfolio/Reedem/ReedemConfirmation/Button_KonfirmasiJual""), ""Konfirmasi"")",,,2019-08-19 17:52:20,2019-08-19 17:52:51,30.954s,FAILED
