Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
BeriMasukan,,,2019-08-13 14:21:57,2019-08-13 14:23:02,1m - 5.720s,FAILED
,,,,,,
Test Cases/Login/LoginTrue,,,2019-08-13 14:21:57,2019-08-13 14:22:51,54.080s,PASSED
startApplication,,,2019-08-13 14:21:58,2019-08-13 14:22:20,21.910s,PASSED
verifyElementText,,,2019-08-13 14:22:20,2019-08-13 14:22:26,6.190s,PASSED
tap,,,2019-08-13 14:22:26,2019-08-13 14:22:28,2.327s,PASSED
"Statement - For ([i = 0, i < 4, (i++)])",,,2019-08-13 14:22:28,2019-08-13 14:22:43,15.087s,PASSED
setText,,,2019-08-13 14:22:43,2019-08-13 14:22:45,2.166s,PASSED
tap,,,2019-08-13 14:22:45,2019-08-13 14:22:47,1.634s,PASSED
delay,,,2019-08-13 14:22:47,2019-08-13 14:22:50,3.061s,PASSED
verifyElementText,,,2019-08-13 14:22:50,2019-08-13 14:22:51,1.234s,PASSED
,,,,,,
Test Cases/OTP/LoginOTP,,,2019-08-13 14:22:51,2019-08-13 14:23:00,8.799s,FAILED
delay,,,2019-08-13 14:22:52,2019-08-13 14:22:55,3.008s,PASSED
tap,,,2019-08-13 14:22:55,2019-08-13 14:22:56,1.445s,PASSED
setText,,,2019-08-13 14:22:56,2019-08-13 14:22:57,1.061s,PASSED
tap,,,2019-08-13 14:22:57,2019-08-13 14:23:00,2.897s,FAILED
