Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
BeriMasukan,,,2019-08-20 14:24:44,2019-08-20 14:26:30,1m - 45.796s,PASSED
,,,,,,
Test Cases/Login/LoginTrue,,,2019-08-20 14:24:44,2019-08-20 14:25:48,1m - 3.184s,PASSED
startApplication,,,2019-08-20 14:24:45,2019-08-20 14:25:15,30.285s,PASSED
verifyElementText,,,2019-08-20 14:25:15,2019-08-20 14:25:21,6.230s,PASSED
"Statement - For ([i = 0, i < 4, (i++)])",,,2019-08-20 14:25:21,2019-08-20 14:25:40,18.173s,PASSED
setText,,,2019-08-20 14:25:40,2019-08-20 14:25:41,1.904s,PASSED
tap,,,2019-08-20 14:25:41,2019-08-20 14:25:43,1.875s,PASSED
delay,,,2019-08-20 14:25:43,2019-08-20 14:25:46,3.033s,PASSED
verifyElementText,,,2019-08-20 14:25:46,2019-08-20 14:25:47,0.230s,PASSED
delay,,,2019-08-20 14:25:47,2019-08-20 14:25:48,1.007s,PASSED
,,,,,,
Test Cases/OTP/LoginOTP,,,2019-08-20 14:25:48,2019-08-20 14:25:58,9.978s,PASSED
delay,,,2019-08-20 14:25:48,2019-08-20 14:25:51,3.006s,PASSED
tap,,,2019-08-20 14:25:51,2019-08-20 14:25:53,1.773s,PASSED
setText,,,2019-08-20 14:25:53,2019-08-20 14:25:54,1.058s,PASSED
delay,,,2019-08-20 14:25:54,2019-08-20 14:25:56,2.004s,PASSED
tap,,,2019-08-20 14:25:56,2019-08-20 14:25:58,1.935s,PASSED
,,,,,,
Test Cases/Profile/BeriMasukan,,,2019-08-20 14:25:58,2019-08-20 14:26:30,32.014s,PASSED
delay,,,2019-08-20 14:25:58,2019-08-20 14:26:01,3.012s,PASSED
tap,,,2019-08-20 14:26:01,2019-08-20 14:26:02,1.600s,PASSED
delay,,,2019-08-20 14:26:02,2019-08-20 14:26:05,3.005s,PASSED
tap,,,2019-08-20 14:26:05,2019-08-20 14:26:07,1.297s,PASSED
delay,,,2019-08-20 14:26:07,2019-08-20 14:26:10,3.005s,PASSED
setText,,,2019-08-20 14:26:10,2019-08-20 14:26:11,1.682s,PASSED
delay,,,2019-08-20 14:26:11,2019-08-20 14:26:14,3.002s,PASSED
setText,,,2019-08-20 14:26:14,2019-08-20 14:26:16,1.301s,PASSED
delay,,,2019-08-20 14:26:16,2019-08-20 14:26:19,3.006s,PASSED
setText,,,2019-08-20 14:26:19,2019-08-20 14:26:20,1.485s,PASSED
delay,,,2019-08-20 14:26:20,2019-08-20 14:26:23,3.004s,PASSED
tap,,,2019-08-20 14:26:23,2019-08-20 14:26:25,2.006s,PASSED
delay,,,2019-08-20 14:26:25,2019-08-20 14:26:28,3.006s,PASSED
closeApplication,,,2019-08-20 14:26:28,2019-08-20 14:26:30,1.417s,PASSED
