Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
FAQ,,,2019-08-20 15:04:29,2019-08-20 15:06:14,1m - 44.734s,PASSED
,,,,,,
Test Cases/Login/LoginTrue,,,2019-08-20 15:04:30,2019-08-20 15:05:38,1m - 8.589s,PASSED
startApplication,,,2019-08-20 15:04:30,2019-08-20 15:05:05,34.730s,PASSED
verifyElementText,,,2019-08-20 15:05:05,2019-08-20 15:05:12,6.623s,PASSED
"Statement - For ([i = 0, i < 4, (i++)])",,,2019-08-20 15:05:12,2019-08-20 15:05:30,18.571s,PASSED
setText,,,2019-08-20 15:05:30,2019-08-20 15:05:33,2.319s,PASSED
tap,,,2019-08-20 15:05:33,2019-08-20 15:05:34,1.527s,PASSED
delay,,,2019-08-20 15:05:34,2019-08-20 15:05:37,3.040s,PASSED
verifyElementText,,,2019-08-20 15:05:37,2019-08-20 15:05:37,0.256s,PASSED
delay,,,2019-08-20 15:05:37,2019-08-20 15:05:38,1.007s,PASSED
,,,,,,
Test Cases/OTP/LoginOTP,,,2019-08-20 15:05:38,2019-08-20 15:05:47,8.761s,PASSED
delay,,,2019-08-20 15:05:39,2019-08-20 15:05:42,3.011s,PASSED
tap,,,2019-08-20 15:05:42,2019-08-20 15:05:43,1.257s,PASSED
setText,,,2019-08-20 15:05:43,2019-08-20 15:05:44,1.064s,PASSED
delay,,,2019-08-20 15:05:44,2019-08-20 15:05:46,2.003s,PASSED
tap,,,2019-08-20 15:05:46,2019-08-20 15:05:47,1.160s,PASSED
,,,,,,
Test Cases/Profile/FAQ,,,2019-08-20 15:05:47,2019-08-20 15:06:14,26.617s,PASSED
delay,,,2019-08-20 15:05:47,2019-08-20 15:05:50,3.016s,PASSED
tap,,,2019-08-20 15:05:50,2019-08-20 15:05:53,2.200s,PASSED
delay,,,2019-08-20 15:05:53,2019-08-20 15:05:56,3.003s,PASSED
tap,,,2019-08-20 15:05:56,2019-08-20 15:05:58,2.663s,PASSED
delay,,,2019-08-20 15:05:58,2019-08-20 15:06:01,3.006s,PASSED
tap,,,2019-08-20 15:06:01,2019-08-20 15:06:03,1.749s,PASSED
delay,,,2019-08-20 15:06:03,2019-08-20 15:06:06,3.008s,PASSED
tap,,,2019-08-20 15:06:06,2019-08-20 15:06:08,1.854s,PASSED
delay,,,2019-08-20 15:06:08,2019-08-20 15:06:11,3.006s,PASSED
closeApplication,,,2019-08-20 15:06:11,2019-08-20 15:06:14,2.915s,PASSED
