Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
KebijakanPrivasi,,,2019-08-20 15:29:25,2019-08-20 15:30:59,1m - 33.347s,PASSED
,,,,,,
Test Cases/Login/LoginTrue,,,2019-08-20 15:29:26,2019-08-20 15:30:31,1m - 4.629s,PASSED
startApplication,,,2019-08-20 15:29:27,2019-08-20 15:29:59,31.971s,PASSED
verifyElementText,,,2019-08-20 15:29:59,2019-08-20 15:30:05,6.720s,PASSED
"Statement - For ([i = 0, i < 4, (i++)])",,,2019-08-20 15:30:05,2019-08-20 15:30:23,17.402s,PASSED
setText,,,2019-08-20 15:30:23,2019-08-20 15:30:25,2.204s,PASSED
tap,,,2019-08-20 15:30:25,2019-08-20 15:30:26,1.508s,PASSED
delay,,,2019-08-20 15:30:26,2019-08-20 15:30:29,3.064s,PASSED
verifyElementText,,,2019-08-20 15:30:29,2019-08-20 15:30:30,0.188s,PASSED
delay,,,2019-08-20 15:30:30,2019-08-20 15:30:31,1.002s,PASSED
,,,,,,
Test Cases/OTP/LoginOTP,,,2019-08-20 15:30:31,2019-08-20 15:30:40,9.272s,PASSED
delay,,,2019-08-20 15:30:31,2019-08-20 15:30:34,3.005s,PASSED
tap,,,2019-08-20 15:30:34,2019-08-20 15:30:35,1.408s,PASSED
setText,,,2019-08-20 15:30:35,2019-08-20 15:30:36,1.077s,PASSED
delay,,,2019-08-20 15:30:36,2019-08-20 15:30:38,2.003s,PASSED
tap,,,2019-08-20 15:30:38,2019-08-20 15:30:40,1.557s,PASSED
,,,,,,
Test Cases/Profile/KebijakanPrivasi,,,2019-08-20 15:30:40,2019-08-20 15:30:59,18.905s,PASSED
delay,,,2019-08-20 15:30:40,2019-08-20 15:30:43,3.016s,PASSED
tap,,,2019-08-20 15:30:43,2019-08-20 15:30:45,1.384s,PASSED
delay,,,2019-08-20 15:30:45,2019-08-20 15:30:48,3.006s,PASSED
tap,,,2019-08-20 15:30:48,2019-08-20 15:30:51,3.547s,PASSED
delay,,,2019-08-20 15:30:51,2019-08-20 15:30:56,5.006s,PASSED
closeApplication,,,2019-08-20 15:30:56,2019-08-20 15:30:59,2.585s,PASSED
