Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Logout,,,2019-08-20 17:10:37,2019-08-20 17:12:11,1m - 34.644s,PASSED
,,,,,,
Test Cases/Login/LoginTrue,,,2019-08-20 17:10:37,2019-08-20 17:11:46,1m - 8.352s,PASSED
startApplication,,,2019-08-20 17:10:38,2019-08-20 17:11:12,34.642s,PASSED
verifyElementText,,,2019-08-20 17:11:12,2019-08-20 17:11:18,5.459s,PASSED
"Statement - For ([i = 0, i < 4, (i++)])",,,2019-08-20 17:11:18,2019-08-20 17:11:37,19.131s,PASSED
setText,,,2019-08-20 17:11:37,2019-08-20 17:11:39,2.279s,PASSED
tap,,,2019-08-20 17:11:39,2019-08-20 17:11:41,1.523s,PASSED
delay,,,2019-08-20 17:11:41,2019-08-20 17:11:44,3.052s,PASSED
verifyElementText,,,2019-08-20 17:11:44,2019-08-20 17:11:45,0.687s,PASSED
delay,,,2019-08-20 17:11:45,2019-08-20 17:11:46,1.005s,PASSED
,,,,,,
Test Cases/OTP/LoginOTP,,,2019-08-20 17:11:46,2019-08-20 17:11:55,9.449s,PASSED
delay,,,2019-08-20 17:11:46,2019-08-20 17:11:49,3.006s,PASSED
tap,,,2019-08-20 17:11:49,2019-08-20 17:11:50,1.649s,PASSED
setText,,,2019-08-20 17:11:50,2019-08-20 17:11:51,1.068s,PASSED
delay,,,2019-08-20 17:11:51,2019-08-20 17:11:53,2.007s,PASSED
tap,,,2019-08-20 17:11:53,2019-08-20 17:11:55,1.535s,PASSED
,,,,,,
Test Cases/Profile/Logout,,,2019-08-20 17:11:55,2019-08-20 17:12:11,16.154s,PASSED
delay,,,2019-08-20 17:11:55,2019-08-20 17:11:58,3.003s,PASSED
tap,,,2019-08-20 17:11:58,2019-08-20 17:12:00,2.106s,PASSED
delay,,,2019-08-20 17:12:00,2019-08-20 17:12:03,3.006s,PASSED
tap,,,2019-08-20 17:12:03,2019-08-20 17:12:06,2.172s,PASSED
delay,,,2019-08-20 17:12:06,2019-08-20 17:12:09,3.002s,PASSED
closeApplication,,,2019-08-20 17:12:09,2019-08-20 17:12:11,2.515s,PASSED
