Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
NilaiKamiDiPlaystore,,,2019-08-20 14:00:29,2019-08-20 14:01:59,1m - 30.521s,PASSED
,,,,,,
Test Cases/Login/LoginTrue,,,2019-08-20 14:00:29,2019-08-20 14:01:34,1m - 4.900s,PASSED
startApplication,,,2019-08-20 14:00:30,2019-08-20 14:01:02,32.129s,PASSED
verifyElementText,,,2019-08-20 14:01:02,2019-08-20 14:01:09,6.877s,PASSED
"Statement - For ([i = 0, i < 4, (i++)])",,,2019-08-20 14:01:09,2019-08-20 14:01:26,17.113s,PASSED
setText,,,2019-08-20 14:01:26,2019-08-20 14:01:28,2.115s,PASSED
tap,,,2019-08-20 14:01:28,2019-08-20 14:01:30,1.527s,PASSED
delay,,,2019-08-20 14:01:30,2019-08-20 14:01:33,3.061s,PASSED
verifyElementText,,,2019-08-20 14:01:33,2019-08-20 14:01:33,0.405s,PASSED
delay,,,2019-08-20 14:01:33,2019-08-20 14:01:34,1.008s,PASSED
,,,,,,
Test Cases/OTP/LoginOTP,,,2019-08-20 14:01:34,2019-08-20 14:01:44,9.551s,PASSED
delay,,,2019-08-20 14:01:34,2019-08-20 14:01:37,3.007s,PASSED
tap,,,2019-08-20 14:01:37,2019-08-20 14:01:39,1.567s,PASSED
setText,,,2019-08-20 14:01:39,2019-08-20 14:01:40,1.079s,PASSED
delay,,,2019-08-20 14:01:40,2019-08-20 14:01:42,2.012s,PASSED
tap,,,2019-08-20 14:01:42,2019-08-20 14:01:44,1.633s,PASSED
,,,,,,
Test Cases/Profile/NilaiKamiDiPlaystore,,,2019-08-20 14:01:44,2019-08-20 14:01:59,15.334s,PASSED
delay,,,2019-08-20 14:01:44,2019-08-20 14:01:47,3.004s,PASSED
tap,,,2019-08-20 14:01:47,2019-08-20 14:01:49,1.526s,PASSED
delay,,,2019-08-20 14:01:49,2019-08-20 14:01:52,3.003s,PASSED
tap,,,2019-08-20 14:01:52,2019-08-20 14:01:54,2.274s,PASSED
delay,,,2019-08-20 14:01:54,2019-08-20 14:01:57,3.006s,PASSED
closeApplication,,,2019-08-20 14:01:57,2019-08-20 14:01:59,2.267s,PASSED
