Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SyaratDanKetentuan,,,2019-08-20 15:41:16,2019-08-20 15:42:49,1m - 32.995s,PASSED
,,,,,,
Test Cases/Login/LoginTrue,,,2019-08-20 15:41:16,2019-08-20 15:42:22,1m - 6.029s,PASSED
startApplication,,,2019-08-20 15:41:17,2019-08-20 15:41:51,34.464s,PASSED
verifyElementText,,,2019-08-20 15:41:51,2019-08-20 15:41:57,6.092s,PASSED
"Statement - For ([i = 0, i < 4, (i++)])",,,2019-08-20 15:41:57,2019-08-20 15:42:14,16.712s,PASSED
setText,,,2019-08-20 15:42:14,2019-08-20 15:42:16,2.148s,PASSED
tap,,,2019-08-20 15:42:16,2019-08-20 15:42:18,1.535s,PASSED
delay,,,2019-08-20 15:42:18,2019-08-20 15:42:21,3.032s,PASSED
verifyElementText,,,2019-08-20 15:42:21,2019-08-20 15:42:21,0.512s,PASSED
delay,,,2019-08-20 15:42:21,2019-08-20 15:42:22,1.007s,PASSED
,,,,,,
Test Cases/OTP/LoginOTP,,,2019-08-20 15:42:22,2019-08-20 15:42:32,9.088s,PASSED
delay,,,2019-08-20 15:42:23,2019-08-20 15:42:26,3.008s,PASSED
tap,,,2019-08-20 15:42:26,2019-08-20 15:42:27,1.539s,PASSED
setText,,,2019-08-20 15:42:27,2019-08-20 15:42:28,1.060s,PASSED
delay,,,2019-08-20 15:42:28,2019-08-20 15:42:30,2.007s,PASSED
tap,,,2019-08-20 15:42:30,2019-08-20 15:42:31,1.179s,PASSED
,,,,,,
Test Cases/Profile/SyaratDanKetentuan,,,2019-08-20 15:42:32,2019-08-20 15:42:49,17.351s,PASSED
delay,,,2019-08-20 15:42:32,2019-08-20 15:42:35,3.005s,PASSED
tap,,,2019-08-20 15:42:35,2019-08-20 15:42:37,1.723s,PASSED
delay,,,2019-08-20 15:42:37,2019-08-20 15:42:40,3.006s,PASSED
tap,,,2019-08-20 15:42:40,2019-08-20 15:42:43,3.765s,PASSED
delay,,,2019-08-20 15:42:43,2019-08-20 15:42:46,3.006s,PASSED
closeApplication,,,2019-08-20 15:42:46,2019-08-20 15:42:49,2.566s,PASSED
