Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
01_AddToCart,,,2019-07-05 11:01:43,2019-07-05 11:03:30,1m - 47.507s,FAILED
,,,,,,
Test Cases/Login/LoginTrue,,,2019-07-05 11:01:43,2019-07-05 11:02:31,47.954s,PASSED
startApplication,,,2019-07-05 11:01:44,2019-07-05 11:02:01,17.698s,PASSED
verifyElementText,,,2019-07-05 11:02:01,2019-07-05 11:02:06,5.150s,PASSED
tap,,,2019-07-05 11:02:06,2019-07-05 11:02:08,1.233s,PASSED
"Statement - For ([i = 0, i < 4, (i++)])",,,2019-07-05 11:02:08,2019-07-05 11:02:24,16.682s,PASSED
setText,,,2019-07-05 11:02:24,2019-07-05 11:02:26,2.047s,PASSED
tap,,,2019-07-05 11:02:26,2019-07-05 11:02:28,1.409s,PASSED
delay,,,2019-07-05 11:02:28,2019-07-05 11:02:31,3.043s,PASSED
verifyElementText,,,2019-07-05 11:02:31,2019-07-05 11:02:31,0.214s,PASSED
,,,,,,
Test Cases/OTP/LoginOTP,,,2019-07-05 11:02:31,2019-07-05 11:02:39,7.656s,PASSED
delay,,,2019-07-05 11:02:31,2019-07-05 11:02:34,3.003s,PASSED
tap,,,2019-07-05 11:02:34,2019-07-05 11:02:36,1.373s,PASSED
setText,,,2019-07-05 11:02:36,2019-07-05 11:02:37,1.056s,PASSED
tap,,,2019-07-05 11:02:37,2019-07-05 11:02:39,1.967s,PASSED
,,,,,,
Test Cases/Home/Reksadana/AddToCart/AddToCart,,,2019-07-05 11:02:39,2019-07-05 11:03:28,48.948s,FAILED
delay,,,2019-07-05 11:02:39,2019-07-05 11:02:42,3.010s,PASSED
tap,,,2019-07-05 11:02:42,2019-07-05 11:02:43,1.498s,PASSED
delay,,,2019-07-05 11:02:43,2019-07-05 11:02:46,3.005s,PASSED
tap,,,2019-07-05 11:02:46,2019-07-05 11:02:51,4.102s,PASSED
delay,,,2019-07-05 11:02:51,2019-07-05 11:02:54,3.006s,PASSED
tap,,,2019-07-05 11:02:54,2019-07-05 11:02:54,0.001s,NOT_RUN
delay,,,2019-07-05 11:02:54,2019-07-05 11:02:57,3.006s,PASSED
tap,,,2019-07-05 11:02:57,2019-07-05 11:03:28,31.046s,FAILED
