Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
02_DeleteCart,,,2019-07-05 15:11:38,2019-07-05 15:14:10,2m - 31.275s,FAILED
,,,,,,
Test Cases/Login/LoginTrue,,,2019-07-05 15:11:39,2019-07-05 15:12:32,52.605s,PASSED
startApplication,,,2019-07-05 15:11:40,2019-07-05 15:12:01,21.865s,PASSED
verifyElementText,,,2019-07-05 15:12:01,2019-07-05 15:12:06,4.433s,PASSED
tap,,,2019-07-05 15:12:06,2019-07-05 15:12:08,2.002s,PASSED
"Statement - For ([i = 0, i < 4, (i++)])",,,2019-07-05 15:12:08,2019-07-05 15:12:25,17.014s,PASSED
setText,,,2019-07-05 15:12:25,2019-07-05 15:12:27,2.003s,PASSED
tap,,,2019-07-05 15:12:27,2019-07-05 15:12:28,1.465s,PASSED
delay,,,2019-07-05 15:12:28,2019-07-05 15:12:31,3.050s,PASSED
verifyElementText,,,2019-07-05 15:12:31,2019-07-05 15:12:32,0.232s,PASSED
,,,,,,
Test Cases/OTP/LoginOTP,,,2019-07-05 15:12:32,2019-07-05 15:12:39,7.822s,PASSED
delay,,,2019-07-05 15:12:32,2019-07-05 15:12:35,3.007s,PASSED
tap,,,2019-07-05 15:12:35,2019-07-05 15:12:36,1.370s,PASSED
setText,,,2019-07-05 15:12:36,2019-07-05 15:12:37,1.101s,PASSED
tap,,,2019-07-05 15:12:37,2019-07-05 15:12:39,2.095s,PASSED
,,,,,,
Test Cases/Home/Reksadana/AddToCart/DeleteCart,,,2019-07-05 15:12:39,2019-07-05 15:13:16,36.628s,FAILED
delay,,,2019-07-05 15:12:40,2019-07-05 15:12:45,5.010s,PASSED
tap,,,2019-07-05 15:12:45,2019-07-05 15:13:16,31.355s,FAILED
,,,,,,
Test Cases/Home/Reksadana/AddToCart/AddToCart,,,2019-07-05 15:13:16,2019-07-05 15:14:08,51.967s,PASSED
delay,,,2019-07-05 15:13:16,2019-07-05 15:13:19,3.003s,PASSED
tap,,,2019-07-05 15:13:19,2019-07-05 15:13:22,3.093s,PASSED
delay,,,2019-07-05 15:13:22,2019-07-05 15:13:25,3.007s,PASSED
tap,,,2019-07-05 15:13:25,2019-07-05 15:13:27,2.123s,PASSED
delay,,,2019-07-05 15:13:27,2019-07-05 15:13:30,3.008s,PASSED
tap,,,2019-07-05 15:13:30,2019-07-05 15:13:34,3.363s,PASSED
tap,,,2019-07-05 15:13:34,2019-07-05 15:13:37,3.296s,PASSED
delay,,,2019-07-05 15:13:37,2019-07-05 15:13:40,3.006s,PASSED
tap,,,2019-07-05 15:13:40,2019-07-05 15:13:41,0.833s,PASSED
tap,,,2019-07-05 15:13:41,2019-07-05 15:13:45,3.533s,PASSED
delay,,,2019-07-05 15:13:45,2019-07-05 15:13:48,3.004s,PASSED
tap,,,2019-07-05 15:13:48,2019-07-05 15:13:48,0.822s,PASSED
delay,,,2019-07-05 15:13:48,2019-07-05 15:13:51,3.004s,PASSED
tap,,,2019-07-05 15:13:51,2019-07-05 15:13:53,2.018s,PASSED
delay,,,2019-07-05 15:13:53,2019-07-05 15:13:58,5.006s,PASSED
tap,,,2019-07-05 15:13:58,2019-07-05 15:14:01,2.516s,PASSED
delay,,,2019-07-05 15:14:01,2019-07-05 15:14:03,2.004s,PASSED
verifyElementText,,,2019-07-05 15:14:03,2019-07-05 15:14:03,0.164s,PASSED
delay,,,2019-07-05 15:14:03,2019-07-05 15:14:08,5.005s,PASSED
