Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
03_EditCart,,,2019-07-05 16:35:07,2019-07-05 16:37:58,2m - 50.969s,FAILED
,,,,,,
Test Cases/Login/LoginTrue,,,2019-07-05 16:35:07,2019-07-05 16:35:56,48.317s,PASSED
startApplication,,,2019-07-05 16:35:08,2019-07-05 16:35:25,16.910s,PASSED
verifyElementText,,,2019-07-05 16:35:25,2019-07-05 16:35:30,4.834s,PASSED
tap,,,2019-07-05 16:35:30,2019-07-05 16:35:32,2.083s,PASSED
"Statement - For ([i = 0, i < 4, (i++)])",,,2019-07-05 16:35:32,2019-07-05 16:35:49,16.843s,PASSED
setText,,,2019-07-05 16:35:49,2019-07-05 16:35:51,1.981s,PASSED
tap,,,2019-07-05 16:35:51,2019-07-05 16:35:52,1.405s,PASSED
delay,,,2019-07-05 16:35:52,2019-07-05 16:35:55,3.034s,PASSED
verifyElementText,,,2019-07-05 16:35:55,2019-07-05 16:35:56,0.709s,PASSED
,,,,,,
Test Cases/OTP/LoginOTP,,,2019-07-05 16:35:56,2019-07-05 16:36:04,8.097s,PASSED
delay,,,2019-07-05 16:35:56,2019-07-05 16:35:59,3.018s,PASSED
tap,,,2019-07-05 16:35:59,2019-07-05 16:36:01,1.811s,PASSED
setText,,,2019-07-05 16:36:01,2019-07-05 16:36:02,0.984s,PASSED
tap,,,2019-07-05 16:36:02,2019-07-05 16:36:04,2.024s,PASSED
,,,,,,
Test Cases/Home/Reksadana/AddToCart/AddToCart,,,2019-07-05 16:36:04,2019-07-05 16:37:20,1m - 15.954s,FAILED
delay,,,2019-07-05 16:36:04,2019-07-05 16:36:07,3.017s,PASSED
tap,,,2019-07-05 16:36:07,2019-07-05 16:36:11,3.865s,PASSED
delay,,,2019-07-05 16:36:11,2019-07-05 16:36:14,3.006s,PASSED
tap,,,2019-07-05 16:36:14,2019-07-05 16:36:16,2.299s,PASSED
delay,,,2019-07-05 16:36:16,2019-07-05 16:36:19,3.003s,PASSED
tap,,,2019-07-05 16:36:19,2019-07-05 16:36:23,3.386s,PASSED
tap,,,2019-07-05 16:36:23,2019-07-05 16:36:26,3.362s,PASSED
delay,,,2019-07-05 16:36:26,2019-07-05 16:36:29,3.007s,PASSED
tap,,,2019-07-05 16:36:29,2019-07-05 16:36:30,0.878s,PASSED
tap,,,2019-07-05 16:36:30,2019-07-05 16:36:33,3.382s,PASSED
delay,,,2019-07-05 16:36:33,2019-07-05 16:36:36,3.002s,PASSED
tap,,,2019-07-05 16:36:36,2019-07-05 16:36:37,0.912s,PASSED
delay,,,2019-07-05 16:36:37,2019-07-05 16:36:40,3.006s,PASSED
tap,,,2019-07-05 16:36:40,2019-07-05 16:36:44,3.382s,PASSED
delay,,,2019-07-05 16:36:44,2019-07-05 16:36:49,5.005s,PASSED
tap,,,2019-07-05 16:36:49,2019-07-05 16:37:20,31.066s,FAILED
,,,,,,
Test Cases/Home/Reksadana/AddToCart/EditCart,,,2019-07-05 16:37:20,2019-07-05 16:37:56,35.949s,FAILED
delay,,,2019-07-05 16:37:20,2019-07-05 16:37:25,5.004s,PASSED
tap,,,2019-07-05 16:37:25,2019-07-05 16:37:56,30.767s,FAILED
