Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
01Top_Up,,,2019-07-31 10:58:04,2019-07-31 11:01:13,3m - 8.644s,FAILED
,,,,,,
Test Cases/Login/LoginTrue,,,2019-07-31 10:58:05,2019-07-31 10:59:08,1m - 2.597s,PASSED
startApplication,,,2019-07-31 10:58:05,2019-07-31 10:58:37,31.463s,PASSED
verifyElementText,,,2019-07-31 10:58:37,2019-07-31 10:58:42,4.977s,PASSED
tap,,,2019-07-31 10:58:42,2019-07-31 10:58:43,1.255s,PASSED
"Statement - For ([i = 0, i < 4, (i++)])",,,2019-07-31 10:58:43,2019-07-31 10:58:59,15.708s,PASSED
setText,,,2019-07-31 10:58:59,2019-07-31 10:59:01,2.154s,PASSED
tap,,,2019-07-31 10:59:01,2019-07-31 10:59:03,1.551s,PASSED
delay,,,2019-07-31 10:59:03,2019-07-31 10:59:06,3.055s,PASSED
verifyElementText,,,2019-07-31 10:59:06,2019-07-31 10:59:08,1.997s,PASSED
,,,,,,
Test Cases/OTP/LoginOTP,,,2019-07-31 10:59:08,2019-07-31 10:59:16,8.533s,PASSED
delay,,,2019-07-31 10:59:08,2019-07-31 10:59:11,3.008s,PASSED
tap,,,2019-07-31 10:59:11,2019-07-31 10:59:12,1.545s,PASSED
setText,,,2019-07-31 10:59:12,2019-07-31 10:59:13,1.084s,PASSED
tap,,,2019-07-31 10:59:13,2019-07-31 10:59:16,2.615s,PASSED
,,,,,,
Test Cases/Home/Portfolio/TopUP,,,2019-07-31 10:59:16,2019-07-31 11:01:10,1m - 53.982s,FAILED
delay,,,2019-07-31 10:59:16,2019-07-31 10:59:21,5.004s,PASSED
tap,,,2019-07-31 10:59:21,2019-07-31 10:59:23,1.811s,PASSED
delay,,,2019-07-31 10:59:23,2019-07-31 10:59:33,10.014s,PASSED
tap,,,2019-07-31 10:59:33,2019-07-31 10:59:35,1.620s,PASSED
delay,,,2019-07-31 10:59:35,2019-07-31 10:59:40,5.005s,PASSED
tap,,,2019-07-31 10:59:40,2019-07-31 10:59:41,1.444s,PASSED
delay,,,2019-07-31 10:59:41,2019-07-31 10:59:44,3.007s,PASSED
tap,,,2019-07-31 10:59:44,2019-07-31 10:59:48,3.326s,PASSED
delay,,,2019-07-31 10:59:48,2019-07-31 10:59:53,5.006s,PASSED
tap,,,2019-07-31 10:59:53,2019-07-31 10:59:54,0.897s,PASSED
delay,,,2019-07-31 10:59:54,2019-07-31 10:59:57,3.004s,PASSED
tap,,,2019-07-31 10:59:57,2019-07-31 10:59:58,1.808s,PASSED
delay,,,2019-07-31 10:59:58,2019-07-31 11:00:03,5.003s,PASSED
tap,,,2019-07-31 11:00:03,2019-07-31 11:00:05,1.257s,PASSED
delay,,,2019-07-31 11:00:05,2019-07-31 11:00:08,3.004s,PASSED
tap,,,2019-07-31 11:00:08,2019-07-31 11:00:09,1.059s,PASSED
tap,,,2019-07-31 11:00:09,2019-07-31 11:00:11,2.622s,PASSED
delay,,,2019-07-31 11:00:11,2019-07-31 11:00:16,5.007s,PASSED
tap,,,2019-07-31 11:00:16,2019-07-31 11:00:18,1.440s,PASSED
delay,,,2019-07-31 11:00:18,2019-07-31 11:00:23,5.004s,PASSED
tap,,,2019-07-31 11:00:23,2019-07-31 11:00:26,3.357s,PASSED
delay,,,2019-07-31 11:00:26,2019-07-31 11:00:28,2.005s,PASSED
tap,,,2019-07-31 11:00:28,2019-07-31 11:00:30,1.438s,PASSED
delay,,,2019-07-31 11:00:30,2019-07-31 11:00:33,3.005s,PASSED
tap,,,2019-07-31 11:00:33,2019-07-31 11:00:34,1.730s,PASSED
setText,,,2019-07-31 11:00:34,2019-07-31 11:00:36,1.295s,PASSED
delay,,,2019-07-31 11:00:36,2019-07-31 11:00:39,3.003s,PASSED
tap,,,2019-07-31 11:00:39,2019-07-31 11:01:10,31.450s,FAILED
