Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
02Reedem,,,2019-07-31 13:35:30,2019-07-31 13:40:42,5m - 11.205s,FAILED
,,,,,,
Test Cases/Login/LoginTrue,,,2019-07-31 13:35:31,2019-07-31 13:37:06,1m - 35.039s,PASSED
startApplication,,,2019-07-31 13:35:32,2019-07-31 13:36:04,31.991s,PASSED
verifyElementText,,,2019-07-31 13:36:04,2019-07-31 13:36:09,5.315s,PASSED
tap,,,2019-07-31 13:36:09,2019-07-31 13:36:10,1.348s,PASSED
"Statement - For ([i = 0, i < 4, (i++)])",,,2019-07-31 13:36:10,2019-07-31 13:36:40,29.331s,PASSED
setText,,,2019-07-31 13:36:40,2019-07-31 13:36:52,12.520s,PASSED
tap,,,2019-07-31 13:36:52,2019-07-31 13:37:03,10.714s,PASSED
delay,,,2019-07-31 13:37:03,2019-07-31 13:37:06,3.036s,PASSED
verifyElementText,,,2019-07-31 13:37:06,2019-07-31 13:37:06,0.213s,PASSED
,,,,,,
Test Cases/OTP/LoginOTP,,,2019-07-31 13:37:06,2019-07-31 13:39:28,2m - 22.189s,PASSED
delay,,,2019-07-31 13:37:07,2019-07-31 13:37:10,3.008s,PASSED
tap,,,2019-07-31 13:37:10,2019-07-31 13:37:52,42.591s,PASSED
setText,,,2019-07-31 13:37:52,2019-07-31 13:39:18,1m - 25.708s,PASSED
tap,,,2019-07-31 13:39:18,2019-07-31 13:39:28,10.519s,PASSED
,,,,,,
Test Cases/Home/Portfolio/Reedem,,,2019-07-31 13:39:28,2019-07-31 13:40:39,1m - 10.441s,FAILED
delay,,,2019-07-31 13:39:29,2019-07-31 13:39:34,5.016s,PASSED
tap,,,2019-07-31 13:39:34,2019-07-31 13:39:43,9.547s,PASSED
delay,,,2019-07-31 13:39:43,2019-07-31 13:39:53,10.003s,PASSED
tap,,,2019-07-31 13:39:53,2019-07-31 13:40:00,6.835s,PASSED
delay,,,2019-07-31 13:40:00,2019-07-31 13:40:05,5.007s,PASSED
tap,,,2019-07-31 13:40:05,2019-07-31 13:40:39,33.656s,FAILED
