Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Reedem,,,2019-07-15 13:38:49,2019-07-15 13:40:37,1m - 47.525s,PASSED
,,,,,,
Test Cases/Login/LoginTrue,,,2019-07-15 13:38:50,2019-07-15 13:39:45,54.722s,PASSED
startApplication,,,2019-07-15 13:38:51,2019-07-15 13:39:13,22.803s,PASSED
verifyElementText,,,2019-07-15 13:39:13,2019-07-15 13:39:19,5.442s,PASSED
tap,,,2019-07-15 13:39:19,2019-07-15 13:39:21,2.125s,PASSED
"Statement - For ([i = 0, i < 4, (i++)])",,,2019-07-15 13:39:21,2019-07-15 13:39:38,16.817s,PASSED
setText,,,2019-07-15 13:39:38,2019-07-15 13:39:40,1.973s,PASSED
tap,,,2019-07-15 13:39:40,2019-07-15 13:39:41,1.579s,PASSED
delay,,,2019-07-15 13:39:41,2019-07-15 13:39:44,3.044s,PASSED
verifyElementText,,,2019-07-15 13:39:44,2019-07-15 13:39:45,0.399s,PASSED
,,,,,,
Test Cases/OTP/LoginOTP,,,2019-07-15 13:39:45,2019-07-15 13:39:53,7.865s,PASSED
delay,,,2019-07-15 13:39:45,2019-07-15 13:39:48,3.015s,PASSED
tap,,,2019-07-15 13:39:48,2019-07-15 13:39:50,1.531s,PASSED
setText,,,2019-07-15 13:39:50,2019-07-15 13:39:51,1.062s,PASSED
tap,,,2019-07-15 13:39:51,2019-07-15 13:39:53,2.000s,PASSED
,,,,,,
Test Cases/Home/Portfolio/Reedem,,,2019-07-15 13:39:53,2019-07-15 13:40:35,42.318s,PASSED
delay,,,2019-07-15 13:39:53,2019-07-15 13:39:58,5.020s,PASSED
tap,,,2019-07-15 13:39:58,2019-07-15 13:40:01,3.426s,PASSED
delay,,,2019-07-15 13:40:01,2019-07-15 13:40:12,10.016s,PASSED
tap,,,2019-07-15 13:40:12,2019-07-15 13:40:13,1.252s,PASSED
delay,,,2019-07-15 13:40:13,2019-07-15 13:40:18,5.006s,PASSED
tap,,,2019-07-15 13:40:18,2019-07-15 13:40:20,2.694s,PASSED
delay,,,2019-07-15 13:40:20,2019-07-15 13:40:23,3.009s,PASSED
verifyElementText,,,2019-07-15 13:40:23,2019-07-15 13:40:24,0.201s,PASSED
tap,,,2019-07-15 13:40:24,2019-07-15 13:40:25,0.885s,PASSED
delay,,,2019-07-15 13:40:25,2019-07-15 13:40:28,3.009s,PASSED
verifyElementText,,,2019-07-15 13:40:28,2019-07-15 13:40:28,0.213s,PASSED
tap,,,2019-07-15 13:40:28,2019-07-15 13:40:29,0.870s,PASSED
tap,,,2019-07-15 13:40:29,2019-07-15 13:40:30,1.314s,PASSED
delay,,,2019-07-15 13:40:30,2019-07-15 13:40:35,5.008s,PASSED
