Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ReedemConfirmation,,,2019-07-15 14:20:42,2019-07-15 14:23:03,2m - 21.296s,FAILED
,,,,,,
Test Cases/Login/LoginTrue,,,2019-07-15 14:20:43,2019-07-15 14:21:35,52.129s,PASSED
startApplication,,,2019-07-15 14:20:43,2019-07-15 14:21:04,21.458s,PASSED
verifyElementText,,,2019-07-15 14:21:04,2019-07-15 14:21:10,5.165s,PASSED
tap,,,2019-07-15 14:21:10,2019-07-15 14:21:11,1.634s,PASSED
"Statement - For ([i = 0, i < 4, (i++)])",,,2019-07-15 14:21:11,2019-07-15 14:21:28,16.723s,PASSED
setText,,,2019-07-15 14:21:28,2019-07-15 14:21:30,1.916s,PASSED
tap,,,2019-07-15 14:21:30,2019-07-15 14:21:31,1.460s,PASSED
delay,,,2019-07-15 14:21:31,2019-07-15 14:21:34,3.044s,PASSED
verifyElementText,,,2019-07-15 14:21:34,2019-07-15 14:21:35,0.228s,PASSED
,,,,,,
Test Cases/OTP/LoginOTP,,,2019-07-15 14:21:35,2019-07-15 14:21:42,7.623s,PASSED
delay,,,2019-07-15 14:21:35,2019-07-15 14:21:38,3.004s,PASSED
tap,,,2019-07-15 14:21:38,2019-07-15 14:21:39,1.269s,PASSED
setText,,,2019-07-15 14:21:39,2019-07-15 14:21:40,1.099s,PASSED
tap,,,2019-07-15 14:21:40,2019-07-15 14:21:42,1.959s,PASSED
,,,,,,
Test Cases/Home/Portfolio/Reedem,,,2019-07-15 14:21:42,2019-07-15 14:22:24,41.852s,PASSED
delay,,,2019-07-15 14:21:43,2019-07-15 14:21:48,5.017s,PASSED
tap,,,2019-07-15 14:21:48,2019-07-15 14:21:50,2.790s,PASSED
delay,,,2019-07-15 14:21:50,2019-07-15 14:22:00,10.007s,PASSED
tap,,,2019-07-15 14:22:00,2019-07-15 14:22:02,1.652s,PASSED
delay,,,2019-07-15 14:22:02,2019-07-15 14:22:07,5.006s,PASSED
tap,,,2019-07-15 14:22:07,2019-07-15 14:22:10,2.587s,PASSED
delay,,,2019-07-15 14:22:10,2019-07-15 14:22:13,3.004s,PASSED
verifyElementText,,,2019-07-15 14:22:13,2019-07-15 14:22:13,0.210s,PASSED
tap,,,2019-07-15 14:22:13,2019-07-15 14:22:14,0.887s,PASSED
delay,,,2019-07-15 14:22:14,2019-07-15 14:22:17,3.011s,PASSED
verifyElementText,,,2019-07-15 14:22:17,2019-07-15 14:22:17,0.205s,PASSED
tap,,,2019-07-15 14:22:17,2019-07-15 14:22:18,0.877s,PASSED
tap,,,2019-07-15 14:22:18,2019-07-15 14:22:19,1.234s,PASSED
delay,,,2019-07-15 14:22:19,2019-07-15 14:22:24,5.006s,PASSED
,,,,,,
Test Cases/Home/Portfolio/ReedemConfirmation,,,2019-07-15 14:22:24,2019-07-15 14:23:01,36.778s,FAILED
delay,,,2019-07-15 14:22:24,2019-07-15 14:22:29,5.005s,PASSED
verifyElementText,,,2019-07-15 14:22:29,2019-07-15 14:23:01,31.616s,FAILED
