Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Top_Up,,,2019-07-09 10:36:33,2019-07-09 10:37:47,1m - 14.051s,PASSED
,,,,,,
Test Cases/Login/LoginTrue,,,2019-07-09 10:36:34,2019-07-09 10:37:20,46.435s,PASSED
startApplication,,,2019-07-09 10:36:34,2019-07-09 10:36:50,15.349s,PASSED
verifyElementText,,,2019-07-09 10:36:50,2019-07-09 10:36:53,3.567s,PASSED
tap,,,2019-07-09 10:36:53,2019-07-09 10:36:56,3.202s,PASSED
"Statement - For ([i = 0, i < 4, (i++)])",,,2019-07-09 10:36:56,2019-07-09 10:37:14,17.093s,PASSED
setText,,,2019-07-09 10:37:14,2019-07-09 10:37:15,1.915s,PASSED
tap,,,2019-07-09 10:37:15,2019-07-09 10:37:17,1.400s,PASSED
delay,,,2019-07-09 10:37:17,2019-07-09 10:37:20,3.044s,PASSED
verifyElementText,,,2019-07-09 10:37:20,2019-07-09 10:37:20,0.286s,PASSED
,,,,,,
Test Cases/OTP/LoginOTP,,,2019-07-09 10:37:20,2019-07-09 10:37:28,7.774s,PASSED
delay,,,2019-07-09 10:37:20,2019-07-09 10:37:24,3.004s,PASSED
tap,,,2019-07-09 10:37:24,2019-07-09 10:37:25,1.443s,PASSED
setText,,,2019-07-09 10:37:25,2019-07-09 10:37:26,1.039s,PASSED
tap,,,2019-07-09 10:37:26,2019-07-09 10:37:28,1.983s,PASSED
,,,,,,
Test Cases/Home/Portfolio/TopUP,,,2019-07-09 10:37:28,2019-07-09 10:37:45,17.123s,PASSED
delay,,,2019-07-09 10:37:28,2019-07-09 10:37:33,5.015s,PASSED
tap,,,2019-07-09 10:37:33,2019-07-09 10:37:35,1.803s,PASSED
delay,,,2019-07-09 10:37:35,2019-07-09 10:37:45,10.007s,PASSED
