Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
01_SubscribeTrue,,,2019-07-29 14:39:18,2019-07-29 14:41:29,2m - 11.082s,PASSED
,,,,,,
Test Cases/Login/LoginTrue,,,2019-07-29 14:39:19,2019-07-29 14:40:08,48.669s,PASSED
startApplication,,,2019-07-29 14:39:20,2019-07-29 14:39:40,20.733s,PASSED
verifyElementText,,,2019-07-29 14:39:40,2019-07-29 14:39:45,4.720s,PASSED
tap,,,2019-07-29 14:39:45,2019-07-29 14:39:46,1.023s,PASSED
"Statement - For ([i = 0, i < 4, (i++)])",,,2019-07-29 14:39:46,2019-07-29 14:40:00,13.874s,PASSED
setText,,,2019-07-29 14:40:00,2019-07-29 14:40:03,2.834s,PASSED
tap,,,2019-07-29 14:40:03,2019-07-29 14:40:04,1.619s,PASSED
delay,,,2019-07-29 14:40:04,2019-07-29 14:40:07,3.039s,PASSED
verifyElementText,,,2019-07-29 14:40:07,2019-07-29 14:40:08,0.322s,PASSED
,,,,,,
Test Cases/OTP/LoginOTP,,,2019-07-29 14:40:08,2019-07-29 14:40:16,8.330s,PASSED
delay,,,2019-07-29 14:40:08,2019-07-29 14:40:11,3.012s,PASSED
tap,,,2019-07-29 14:40:11,2019-07-29 14:40:13,1.453s,PASSED
setText,,,2019-07-29 14:40:13,2019-07-29 14:40:14,1.083s,PASSED
tap,,,2019-07-29 14:40:14,2019-07-29 14:40:16,2.380s,PASSED
,,,,,,
Test Cases/Home/Reksadana/Subscribe/Subscribe,,,2019-07-29 14:40:16,2019-07-29 14:41:24,1m - 7.780s,PASSED
delay,,,2019-07-29 14:40:17,2019-07-29 14:40:24,7.011s,PASSED
tap,,,2019-07-29 14:40:24,2019-07-29 14:40:26,2.335s,PASSED
delay,,,2019-07-29 14:40:26,2019-07-29 14:40:31,5.010s,PASSED
tap,,,2019-07-29 14:40:31,2019-07-29 14:40:33,2.204s,PASSED
delay,,,2019-07-29 14:40:33,2019-07-29 14:40:38,5.007s,PASSED
tap,,,2019-07-29 14:40:38,2019-07-29 14:40:39,1.083s,PASSED
delay,,,2019-07-29 14:40:39,2019-07-29 14:40:44,5.006s,PASSED
tap,,,2019-07-29 14:40:44,2019-07-29 14:40:47,3.234s,PASSED
delay,,,2019-07-29 14:40:47,2019-07-29 14:40:52,5.006s,PASSED
tap,,,2019-07-29 14:40:52,2019-07-29 14:40:54,1.513s,PASSED
delay,,,2019-07-29 14:40:54,2019-07-29 14:40:59,5.006s,PASSED
tap,,,2019-07-29 14:40:59,2019-07-29 14:41:00,0.904s,PASSED
delay,,,2019-07-29 14:41:00,2019-07-29 14:41:02,2.003s,PASSED
tap,,,2019-07-29 14:41:02,2019-07-29 14:41:04,1.863s,PASSED
delay,,,2019-07-29 14:41:04,2019-07-29 14:41:06,2.007s,PASSED
tap,,,2019-07-29 14:41:06,2019-07-29 14:41:07,1.059s,PASSED
delay,,,2019-07-29 14:41:07,2019-07-29 14:41:10,3.009s,PASSED
tap,,,2019-07-29 14:41:10,2019-07-29 14:41:11,1.107s,PASSED
delay,,,2019-07-29 14:41:11,2019-07-29 14:41:16,5.011s,PASSED
tap,,,2019-07-29 14:41:16,2019-07-29 14:41:17,1.142s,PASSED
delay,,,2019-07-29 14:41:17,2019-07-29 14:41:22,5.240s,PASSED
tap,,,2019-07-29 14:41:22,2019-07-29 14:41:24,1.505s,PASSED
