Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
01_SubscribeTrue,,,2019-07-03 14:51:26,2019-07-03 14:53:18,1m - 51.961s,FAILED
,,,,,,
Test Cases/Login/LoginTrue,,,2019-07-03 14:51:26,2019-07-03 14:52:22,55.787s,PASSED
startApplication,,,2019-07-03 14:51:27,2019-07-03 14:51:47,20.594s,PASSED
verifyElementText,,,2019-07-03 14:51:47,2019-07-03 14:51:54,6.710s,PASSED
tap,,,2019-07-03 14:51:54,2019-07-03 14:51:56,1.955s,PASSED
"Statement - For ([i = 0, i < 4, (i++)])",,,2019-07-03 14:51:56,2019-07-03 14:52:14,17.596s,PASSED
setText,,,2019-07-03 14:52:14,2019-07-03 14:52:16,1.986s,PASSED
tap,,,2019-07-03 14:52:16,2019-07-03 14:52:17,1.533s,PASSED
delay,,,2019-07-03 14:52:17,2019-07-03 14:52:20,3.039s,PASSED
verifyElementText,,,2019-07-03 14:52:20,2019-07-03 14:52:22,1.884s,PASSED
,,,,,,
Test Cases/OTP/LoginOTP,,,2019-07-03 14:52:22,2019-07-03 14:52:30,8.080s,PASSED
delay,,,2019-07-03 14:52:22,2019-07-03 14:52:25,3.007s,PASSED
tap,,,2019-07-03 14:52:25,2019-07-03 14:52:27,1.776s,PASSED
setText,,,2019-07-03 14:52:27,2019-07-03 14:52:28,1.100s,PASSED
tap,,,2019-07-03 14:52:28,2019-07-03 14:52:30,2.025s,PASSED
,,,,,,
Test Cases/Home/Reksadana/Subscribe/Subscribe,,,2019-07-03 14:52:30,2019-07-03 14:53:16,45.379s,FAILED
delay,,,2019-07-03 14:52:30,2019-07-03 14:52:33,3.006s,PASSED
tap,,,2019-07-03 14:52:33,2019-07-03 14:52:38,4.201s,PASSED
delay,,,2019-07-03 14:52:38,2019-07-03 14:52:41,3.008s,PASSED
tap,,,2019-07-03 14:52:41,2019-07-03 14:52:46,5.548s,PASSED
tap,,,2019-07-03 14:52:46,2019-07-03 14:52:50,3.415s,PASSED
tap,,,2019-07-03 14:52:50,2019-07-03 14:52:51,0.899s,PASSED
delay,,,2019-07-03 14:52:51,2019-07-03 14:52:54,3.003s,PASSED
tap,,,2019-07-03 14:52:54,2019-07-03 14:52:57,3.387s,PASSED
delay,,,2019-07-03 14:52:57,2019-07-03 14:53:00,3.006s,PASSED
tap,,,2019-07-03 14:53:00,2019-07-03 14:53:01,1.498s,PASSED
tap,,,2019-07-03 14:53:01,2019-07-03 14:53:06,4.423s,PASSED
tap,,,2019-07-03 14:53:06,2019-07-03 14:53:07,1.072s,PASSED
tap,,,2019-07-03 14:53:07,2019-07-03 14:53:08,1.277s,PASSED
delay,,,2019-07-03 14:53:08,2019-07-03 14:53:11,3.006s,PASSED
verifyElementText,,,2019-07-03 14:53:11,2019-07-03 14:53:12,0.738s,PASSED
delay,,,2019-07-03 14:53:12,2019-07-03 14:53:15,3.004s,PASSED
tap,,,2019-07-03 14:53:15,2019-07-03 14:53:16,0.582s,FAILED
